Delta_t_ms,Kernel
3.5200,5.2190843803934634e+01
3.5600,5.1629850057835625e+01
3.6000,5.1074886372954666e+01
3.6400,5.0525887932814776e+01
3.6800,4.9982790617644056e+01
3.7200,4.9445530996887349e+01
3.7600,4.8914046321797471e+01
3.8000,4.8388274518106932e+01
3.8400,4.7868154178777687e+01
3.8800,4.7353624556829459e+01
3.9200,4.6844625558244594e+01
3.9600,4.6341097734949535e+01
4.0000,4.5842982277871791e+01
4.0400,4.5350221010071074e+01
4.0800,4.4862756379944912e+01
4.1200,4.4380531454506603e+01
4.1600,4.3903489912736170e+01
4.2000,4.3431576039002032e+01
4.2400,4.2964734716554076e+01
4.2800,4.2502911421086019e+01
4.3200,4.2046052214367613e+01
4.3600,4.1594103737944693e+01
4.4000,4.1147013206907495e+01
4.4400,4.0704728403725404e+01
4.4800,4.0267197672148562e+01
4.5200,3.9834369911174385e+01
4.5600,3.9406194569079631e+01
4.6000,3.8982621637515969e+01
4.6400,3.8563601645669351e+01
4.6800,3.8149085654482349e+01
4.7200,3.7739025250937992e+01
4.7600,3.7333372542405755e+01
4.8000,3.6932080151047693e+01
4.8400,3.6535101208285269e+01
4.8800,3.6142389349325072e+01
4.9200,3.5753898707744028e+01
4.9600,3.5369583910132114e+01
5.0000,3.4989400070793387e+01
5.0400,3.4613302786503205e+01
5.0800,3.4241248131322557e+01
5.1200,3.3873192651467484e+01
5.1600,3.3509093360234196e+01
5.2000,3.3148907732978188e+01
5.2400,3.2792593702147897e+01
5.2800,3.2440109652371255e+01
5.3200,3.2091414415595338e+01
5.3600,3.1746467266278255e+01
5.4000,3.1405227916632448e+01
5.4400,3.1067656511919562e+01
5.4800,3.0733713625795410e+01
5.5200,3.0403360255705437e+01
5.5600,3.0076557818329217e+01
5.6000,2.9753268145074390e+01
5.6400,2.9433453477618546e+01
5.6800,2.9117076463499540e+01
5.7200,2.8804100151752692e+01
5.7600,2.8494487988595360e+01
5.8000,2.8188203813157454e+01
5.8400,2.7885211853258284e+01
5.8800,2.7585476721228364e+01
5.9200,2.7288963409776549e+01
5.9600,2.6995637287901218e+01
6.0000,2.6705464096845638e+01
6.0400,2.6418409946096830e+01
6.0800,2.6134441309427189e+01
6.1200,2.5853525020979010e+01
6.1600,2.5575628271390695e+01
6.2000,2.5300718603965056e+01
6.2400,2.5028763910878325e+01
6.2800,2.4759732429430365e+01
6.3200,2.4493592738334801e+01
6.3600,2.4230313754049320e+01
6.4000,2.3969864727145200e+01
6.4400,2.3712215238716080e+01
6.4800,2.3457335196825060e+01
6.5200,2.3205194832990305e+01
6.5600,2.2955764698708084e+01
6.6000,2.2709015662013552e+01
6.6400,2.2464918904078136e+01
6.6800,2.2223445915843747e+01
6.7200,2.1984568494693143e+01
6.7600,2.1748258741155887e+01
6.8000,2.1514489055650017e+01
6.8400,2.1283232135258434e+01
6.8800,2.1054460970540202e+01
6.9200,2.0828148842375889e+01
6.9600,2.0604269318847063e+01
7.0000,2.0382796252149056e+01
7.0400,2.0163703775537211e+01
7.0800,1.9946966300305640e+01
7.1200,1.9732558512798750e+01
7.1600,1.9520455371454648e+01
7.2000,1.9310632103880550e+01
7.2400,1.9103064203959377e+01
7.2800,1.8897727428987732e+01
7.3200,1.8694597796844349e+01
7.3600,1.8493651583189219e+01
7.4000,1.8294865318692739e+01
7.4400,1.8098215786294546e+01
7.4800,1.7903680018491990e+01
7.5200,1.7711235294657584e+01
7.5600,1.7520859138385479e+01
7.6000,1.7332529314866211e+01
7.6400,1.7146223828289948e+01
7.6800,1.6961920919277386e+01
7.7200,1.6779599062338509e+01
7.7600,1.6599236963358383e+01
7.8000,1.6420813557110300e+01
7.8400,1.6244308004795336e+01
7.8800,1.6069699691608619e+01
7.9200,1.5896968224331543e+01
7.9600,1.5726093428950051e+01
8.0000,1.5557055348298350e+01
8.0400,1.5389834239728071e+01
8.0800,1.5224410572802480e+01
8.1200,1.5060765027015332e+01
8.1600,1.4898878489534493e+01
8.2000,1.4738732052969532e+01
8.2400,1.4580307013163571e+01
8.2800,1.4423584867008646e+01
8.3200,1.4268547310284758e+01
8.3600,1.4115176235521931e+01
8.4000,1.3963453729885487e+01
8.4400,1.3813362073083823e+01
8.4800,1.3664883735298895e+01
8.5200,1.3518001375138711e+01
8.5600,1.3372697837612098e+01
8.6000,1.3228956152124972e+01
8.6400,1.3086759530498391e+01
8.6800,1.2946091365007689e+01
8.7200,1.2806935226442846e+01
8.7600,1.2669274862189683e+01
8.8000,1.2533094194331568e+01
8.8400,1.2398377317771708e+01
8.8800,1.2265108498375422e+01
8.9200,1.2133272171132601e+01
8.9600,1.2002852938339702e+01
9.0000,1.1873835567801477e+01
9.0400,1.1746204991051863e+01
9.0800,1.1619946301594148e+01
9.1200,1.1495044753159902e+01
9.1600,1.1371485757986791e+01
9.2000,1.1249254885114716e+01
9.2400,1.1128337858700457e+01
9.2800,1.1008720556350235e+01
9.3200,1.0890389007470420e+01
9.3600,1.0773329391635741e+01
9.4000,1.0657528036975190e+01
9.4400,1.0542971418575254e+01
9.4800,1.0429646156900217e+01
9.5200,1.0317539016229587e+01
9.5600,1.0206636903112161e+01
9.6000,1.0096926864836876e+01
9.6400,9.9883960879199094e+00
9.6800,9.8810318966082420e+00
9.7200,9.7748217513991200e+00
9.7600,9.6697532475755796e+00
9.8000,9.5658141137575914e+00
9.8400,9.4629922104688919e+00
9.8800,9.3612755287191156e+00
9.9200,9.2606521886012594e+00
9.9600,9.1611104379041333e+00
10.0000,9.0626386507398315e+00
10.0400,8.9652253261858235e+00
10.0800,8.8688590869417663e+00
10.1200,8.7735286780007140e+00
10.1600,8.6792229653345387e+00
10.2000,8.5859309345936090e+00
10.2400,8.4936416898203291e+00
10.2800,8.4023444521765907e+00
10.3200,8.3120285586848297e+00
10.3600,8.2226834609827151e+00
10.4000,8.1342987240910745e+00
10.4400,8.0468640251952444e+00
10.4800,7.9603691524393509e+00
10.5200,7.8748040037336828e+00
10.5600,7.7901585855747717e+00
10.6000,7.7064230118782708e+00
10.6400,7.6235875028242539e+00
10.6800,7.5416423837150548e+00
10.7200,7.4605780838452613e+00
10.7600,7.3803851353839667e+00
10.8000,7.3010541722689304e+00
10.8400,7.2225759291127138e+00
10.8800,7.1449412401205414e+00
10.9200,7.0681410380197525e+00
10.9600,6.9921663530008473e+00
11.0000,6.9170083116698109e+00
11.0400,6.8426581360118135e+00
